address,store_id,updated_address
Albany - 1425 Central Ave,10492|(518) 621-5300,"1425 Central Ave, Albany, NY 12205"
Fort Greene - 292 Ashland Pl,10709|(718) 290-1010,"292 Ashland Pl, Brooklyn, NY 11217"
Third and 3rd (Brooklyn) - 214 3rd St ,10220|(718) 907-3622,"214 3rd St., Brooklyn, NY 11215"
Williamsburg - 238 Bedford Ave,10487|(718) 734-2321,"238 Bedford Ave, Brooklyn, NY 11249"
Bowery - 95 East Houston St,10236|(212) 420-1320,"95 E Houston St, New York, NY 10002"
Bryant Park - 1095 6th Ave,10578|(917) 728-5700,"1095 Bryant Pk, New York, NY 10036"
Chelsea - 250 7th Ave,10131|(212) 924-5969,"250 7th Ave, New York, NY 10001"
Columbus Circle - 10 Columbus Cir,10160|(212) 823-9600,"10 Columbus Cir, New York, NY 10019"
Harlem - 100 W 125th St,10517|(212) 678-1940,"100 W 125th St, New York, NY 10027"
Manhattan West - 450 W 33rd St,10713|(646) 540-1104,"450 W 33rd St, New York, NY 10001"
Midtown East (E 57th St) - 226 E 57th St,10408|(646) 497-1222,"226 E 57th St, New York, NY 10022"
NoMad - 63 Madison Ave,10773|(646) 779-2848,"63 Madison Ave, New York, NY 10016"
One Wall Street - 66 Broadway,10696|(646) 779-8229,"66 Broadway, New York, NY 10005"
Tribeca - 270 Greenwich St,10245|(212) 349-6555,"270 Greenwich St, New York, NY 10007"
Union Square - 4 Union Square S,10162|(212) 673-5388,"40 E 14th St, New York, NY 10003"
Upper West Side - 808 Columbus Ave,10328|(212) 222-6160,"808 Columbus Ave, New York, NY 10025"
Jericho - 429 North Broadway,10161|(516) 932-1733,"429 N Broadway, Jericho, NY 11753"
Lake Grove - 120 New Moriches Rd,10240|(631) 588-1466,"120 New Moriches Rd, Lake Grove, NY 11755"
Manhasset - 2101 Northern Blvd,10063|(516) 869-8900,"2101 Northern Blvd, Manhasset, NY 11030"
Port Chester - 575 Boston Post Road,10483|(914) 708-1985,"575 Boston Post Rd, Port Chester, NY 10573"
White Plains - 110 Bloomingdale Rd,10163|(914) 288-1300,"110 Bloomingdale Rd, White Plains, NY 10605"
Yonkers - 1 Ridge Hill Blvd,10343|(914) 378-8090,"1 Ridge Hill Boulevard, Yonkers, NY 10710"
